country,sentiment_vader,word,count,rank,n_reviews
us,negative,all,39,8,339
us,negative,get,39,9,339
us,negative,what,39,10,339
us,negative,time,39,11,339
us,negative,verification,38,12,339
us,negative,after,37,13,339
us,negative,reason,36,14,339
us,negative,use,34,15,339
us,neutral,professional,21,1,336
us,neutral,job,17,2,336
us,neutral,get,13,3,336
us,neutral,when,11,4,336
us,neutral,what,11,5,336
us,neutral,work,10,6,336
us,neutral,after,10,7,336
us,neutral,even,10,8,336
us,neutral,people,9,9,336
us,neutral,unable,9,10,336
us,neutral,any,9,11,336
us,neutral,why,8,12,336
us,neutral,doe,8,13,336
us,neutral,open,8,14,336
us,neutral,crashing,8,15,336
us,positive,good,316,1,1291
us,positive,great,193,2,1291
us,positive,job,191,3,1291
us,positive,professional,123,4,1291
us,positive,best,111,5,1291
us,positive,platform,96,6,1291
us,positive,excellent,95,7,1291
us,positive,nice,94,8,1291
us,positive,use,73,9,1291
us,positive,experience,68,10,1291
us,positive,easy,61,11,1291
us,positive,people,61,12,1291
us,positive,opportunity,57,13,1291
us,positive,like,56,14,1291
us,positive,application,54,15,1291
